ema100, rdp5, rdp10, rdp15, rdp20, label
938.33636, -0.02279749, -0.015493928, -0.03537268, 0.035009693, up
932.92883, -0.031345986, -0.006788278, -0.04530475, 0.027431438, up
930.027, -0.029328767, 0.022886468, -0.061809037, 0.0041144495, up
926.78595, -0.032441832, 0.012880057, -0.050255112, -7.2266866E-4, up
927.29834, -8.708153E-4, -0.0076811602, -0.044787083, -0.0067712576, down
930.0089, 0.02519259, -0.02279749, -0.015493928, -0.03537268, down
931.0472, 0.026226297, -0.031345986, -0.006788278, -0.04530475, down
931.6933, 0.017268838, -0.029328767, 0.022886468, -0.061809037, down
930.03094, 0.010461576, -0.032441832, 0.012880057, -0.050255112, up
928.2663, -0.00875876, -8.708153E-4, -0.0076811602, -0.044787083, up
927.25116, -0.018770233, 0.02519259, -0.02279749, -0.015493928, up
927.6088, -0.0065868627, 0.026226297, -0.031345986, -0.006788278, up
927.51904, -0.007620902, 0.017268838, -0.029328767, 0.022886468, up
928.0874, 0.0075591635, 0.010461576, -0.032441832, 0.012880057, up
932.888, 0.033521134, -0.00875876, -8.708153E-4, -0.0076811602, down
936.74854, 0.031412818, -0.018770233, 0.02519259, -0.02279749, up
939.6084, 0.023691133, -0.0065868627, 0.026226297, -0.031345986, up
942.009, 0.026370866, -0.007620902, 0.017268838, -0.029328767, up
941.8668, 0.011758892, 0.0075591635, 0.010461576, -0.032441832, up
942.2757, -0.008591681, 0.033521134, -0.00875876, -8.708153E-4, up
946.00256, 0.009157806, 0.031412818, -0.018770233, 0.02519259, up
950.6098, 0.018915925, 0.023691133, -0.0065868627, 0.026226297, up
954.5299, 0.01954586, 0.026370866, -0.007620902, 0.017268838, up
957.5263, 0.029969215, 0.011758892, 0.0075591635, 0.010461576, up
960.1974, 0.028572673, -0.008591681, 0.033521134, -0.00875876, up
963.3754, 0.015797582, 0.009157806, 0.031412818, -0.018770233, up
964.87616, 0.0018988142, 0.018915925, 0.023691133, -0.0065868627, up
967.1453, 0.006194482, 0.01954586, 0.026370866, -0.007620902, up
971.23224, 0.018638289, 0.029969215, 0.011758892, 0.0075591635, up
975.14355, 0.02050714, 0.028572673, -0.008591681, 0.033521134, up
978.2126, 0.0147527, 0.015797582, 0.009157806, 0.031412818, up
979.32043, 0.01325601, 0.0018988142, 0.018915925, 0.023691133, up
983.84406, 0.026346553, 0.006194482, 0.01954586, 0.026370866, up
987.7033, 0.015755683, 0.018638289, 0.029969215, 0.011758892, up
990.89856, 0.013009836, 0.02050714, 0.028572673, -0.008591681, down
991.6486, 0.004199976, 0.0147527, 0.015797582, 0.009157806, down
991.3172, 0.006343065, 0.01325601, 0.0018988142, 0.018915925, up
993.4838, 2.0961532E-4, 0.026346553, 0.006194482, 0.01954586, down
996.9469, 0.007635996, 0.015755683, 0.018638289, 0.029969215, down
998.0436, -0.0012454168, 0.013009836, 0.02050714, 0.028572673, up
996.65717, -0.00355908, 0.004199976, 0.0147527, 0.015797582, up
996.27386, 0.004798028, 0.006343065, 0.01325601, 0.0018988142, up
996.8348, -0.003063421, 2.0961532E-4, 0.026346553, 0.006194482, up
999.09973, -0.002611807, 0.007635996, 0.015755683, 0.018638289, up
1002.8835, 0.015552235, -0.0012454168, 0.013009836, 0.02050714, up
1006.6486, 0.030874511, -0.00355908, 0.004199976, 0.0147527, up
1009.08136, 0.024197286, 0.004798028, 0.006343065, 0.01325601, up
1011.067, 0.019948345, -0.003063421, 2.0961532E-4, 0.026346553, up
1014.2176, 0.018508941, -0.002611807, 0.007635996, 0.015755683, up
1015.764, 0.0038604278, 0.015552235, -0.0012454168, 0.013009836, up
1020.6968, 0.018322255, 0.030874511, -0.00355908, 0.004199976, up
1025.3339, 0.024607146, 0.024197286, 0.004798028, 0.006343065, up
1030.2991, 0.030568909, 0.019948345, -0.003063421, 2.0961532E-4, up
1036.6254, 0.03419305, 0.018508941, -0.002611807, 0.007635996, up
1041.2201, 0.036841296, 0.0038604278, 0.015552235, -0.0012454168, up
1045.462, 0.021145102, 0.018322255, 0.030874511, -0.00355908, up
1051.4657, 0.030271655, 0.024607146, 0.024197286, 0.004798028, up
1056.0529, 0.023082187, 0.030568909, 0.019948345, -0.003063421, up
1059.7721, 0.011978162, 0.03419305, 0.018508941, -0.002611807, up
1062.6611, 0.013797655, 0.036841296, 0.0038604278, 0.015552235, up
1068.0693, 0.025667476, 0.021145102, 0.018322255, 0.030874511, up
1072.5756, 0.014058835, 0.030271655, 0.024607146, 0.024197286, up
1076.6661, 0.017339915, 0.023082187, 0.030568909, 0.019948345, up
1082.2767, 0.027981153, 0.011978162, 0.03419305, 0.018508941, up
1088.0796, 0.034508824, 0.013797655, 0.036841296, 0.0038604278, down
1093.6595, 0.024116758, 0.025667476, 0.021145102, 0.018322255, down
1098.6938, 0.025884816, 0.014058835, 0.030271655, 0.024607146, down
1102.3768, 0.022030462, 0.017339915, 0.023082187, 0.030568909, down
1104.1793, 0.006037769, 0.027981153, 0.011978162, 0.03419305, up
1101.2152, -0.01973387, 0.034508824, 0.013797655, 0.036841296, up
1098.3003, -0.026290763, 0.024116758, 0.025667476, 0.021145102, up
1098.5942, -0.017035598, 0.025884816, 0.014058835, 0.030271655, up
1099.8474, -0.010965796, 0.022030462, 0.017339915, 0.023082187, down
1104.6318, 0.011139208, 0.006037769, 0.027981153, 0.011978162, down
1109.7493, 0.03750825, -0.01973387, 0.034508824, 0.013797655, down
1111.1859, 0.027874952, -0.026290763, 0.024116758, 0.025667476, down
1111.5988, 0.012257091, -0.017035598, 0.025884816, 0.014058835, down
1107.8207, -0.01099689, -0.010965796, 0.022030462, 0.017339915, up
1104.2325, -0.030157428, 0.011139208, 0.006037769, 0.027981153, down
1106.722, -0.011979896, 0.03750825, -0.01973387, 0.034508824, down
1108.5457, -9.759679E-4, 0.027874952, -0.026290763, 0.024116758, down
1105.6786, -0.017103111, 0.012257091, -0.017035598, 0.025884816, down
1104.0011, 0.0041914857, -0.01099689, -0.010965796, 0.022030462, up
1100.5107, -0.003055342, -0.030157428, 0.011139208, 0.006037769, up
1093.0405, -0.0479278, -0.011979896, 0.03750825, -0.01973387, up
1088.9545, -0.0387421, -9.759679E-4, 0.027874952, -0.026290763, up
1087.8292, -0.0099432515, -0.017103111, 0.012257091, -0.017035598, up
1091.5374, 0.008274891, 0.0041914857, -0.01099689, -0.010965796, up
1096.3964, 0.026947591, -0.003055342, -0.030157428, 0.011139208, up
1100.017, 0.04828997, -0.0479278, -0.011979896, 0.03750825, up
1104.5438, 0.046652596, -0.0387421, -9.759679E-4, 0.027874952, up
1112.233, 0.055070974, -0.0099432515, -0.017103111, 0.012257091, up
1118.8383, 0.035151, 0.008274891, 0.0041914857, -0.01099689, up
1125.5709, 0.032863468, 0.026947591, -0.003055342, -0.030157428, up
1132.1283, 0.039353956, 0.04828997, -0.0479278, -0.011979896, up
1137.3267, 0.03159486, 0.046652596, -0.0387421, -9.759679E-4, up
1144.0155, 0.024304701, 0.055070974, -0.0099432515, -0.017103111, up
1149.1302, 0.021244045, 0.035151, 0.008274891, 0.0041914857, up
1154.1307, 0.0187679, 0.032863468, 0.026947591, -0.003055342, up
1161.4904, 0.028117398, 0.039353956, 0.04828997, -0.0479278, up
1168.5262, 0.033286747, 0.03159486, 0.046652596, -0.0387421, up
1174.8151, 0.02494081, 0.024304701, 0.055070974, -0.0099432515, up
1175.028, 0.0053779865, 0.021244045, 0.035151, 0.008274891, up
1181.3046, 0.02749272, 0.0187679, 0.032863468, 0.026947591, up
1186.9696, 0.015701972, 0.028117398, 0.039353956, 0.04828997, up
1195.2894, 0.026657226, 0.033286747, 0.03159486, 0.046652596, down
1202.4755, 0.026042318, 0.02494081, 0.024304701, 0.055070974, down
1206.1825, 0.03837977, 0.0053779865, 0.021244045, 0.035151, up
1213.5018, 0.030147292, 0.02749272, 0.0187679, 0.032863468, up
1216.2816, 0.014690459, 0.015701972, 0.028117398, 0.039353956, down
1213.5233, -0.021227896, 0.026657226, 0.033286747, 0.03159486, down
1211.0204, -0.024536608, 0.026042318, 0.02494081, 0.024304701, down
1214.2524, 0.0050532296, 0.03837977, 0.0053779865, 0.021244045, down
1220.2557, 0.0011989172, 0.030147292, 0.02749272, 0.0187679, down
1219.6168, -0.008424284, 0.014690459, 0.015701972, 0.028117398, down
1214.3807, -0.007526091, -0.021227896, 0.026657226, 0.033286747, down
1209.5392, -0.009025708, -0.024536608, 0.026042318, 0.02494081, down
1202.9032, -0.04141207, 0.0050532296, 0.03837977, 0.0053779865, up
1199.5667, -0.0466539, 0.0011989172, 0.030147292, 0.02749272, down
1190.279, -0.052528266, -0.008424284, 0.014690459, 0.015701972, up
1184.6694, -0.026151262, -0.007526091, -0.021227896, 0.026657226, up
1184.4312, -0.005621099, -0.009025708, -0.024536608, 0.026042318, down
1184.4652, 0.0070046503, -0.04141207, 0.0050532296, 0.03837977, down
1183.8281, -0.0041644396, -0.0466539, 0.0011989172, 0.030147292, up
1182.8623, 0.022434587, -0.052528266, -0.008424284, 0.014690459, up
1179.5619, 0.0035535179, -0.026151262, -0.007526091, -0.021227896, up
1171.7936, -0.03613074, -0.005621099, -0.009025708, -0.024536608, up
1169.0571, -0.022361971, 0.0070046503, -0.04141207, 0.0050532296, up
1173.0355, 0.0064928904, -0.0041644396, -0.0466539, 0.0011989172, up
1180.1042, 0.024919428, 0.022434587, -0.052528266, -0.008424284, up
1187.6775, 0.044248763, 0.0035535179, -0.026151262, -0.007526091, up
1194.5381, 0.071235724, -0.03613074, -0.005621099, -0.009025708, up
1199.3243, 0.05211939, -0.022361971, 0.0070046503, -0.04141207, up
1204.8014, 0.031759124, 0.0064928904, -0.0041644396, -0.0466539, up
1209.3589, 0.015897285, 0.024919428, 0.022434587, -0.052528266, up
1214.3733, 0.013514359, 0.044248763, 0.0035535179, -0.026151262, up
1222.7225, 0.027938277, 0.071235724, -0.03613074, -0.005621099, up
1229.704, 0.032138694, 0.05211939, -0.022361971, 0.0070046503, up
1234.5352, 0.022132391, 0.031759124, 0.0064928904, -0.0041644396, down
1241.0604, 0.032233946, 0.015897285, 0.024919428, 0.022434587, up
1246.7181, 0.028288295, 0.013514359, 0.044248763, 0.0035535179, up
1251.8246, 0.012841133, 0.027938277, 0.071235724, -0.03613074, up
1255.2192, 0.00888182, 0.032138694, 0.05211939, -0.022361971, up
1253.0756, -0.0074649365, 0.022132391, 0.031759124, 0.0064928904, up
1258.8644, 0.011727, 0.032233946, 0.015897285, 0.024919428, up
1265.4336, 0.017615303, 0.028288295, 0.013514359, 0.044248763, up
1270.991, 0.016482586, 0.012841133, 0.027938277, 0.071235724, up
1275.5404, 0.019656321, 0.00888182, 0.032138694, 0.05211939, up
1276.3087, 0.028027324, -0.0074649365, 0.022132391, 0.031759124, up
1280.5347, 0.012027833, 0.011727, 0.032233946, 0.015897285, up
1285.6241, 0.011047387, 0.017615303, 0.028288295, 0.013514359, up
1290.5232, 0.013068175, 0.016482586, 0.012841133, 0.027938277, up
1295.4486, 0.016548946, 0.019656321, 0.00888182, 0.032138694, up
1300.5703, 0.032578323, 0.028027324, -0.0074649365, 0.022132391, up
1305.4064, 0.021049188, 0.012027833, 0.011727, 0.032233946, up
1309.1654, 0.013951187, 0.011047387, 0.017615303, 0.028288295, up
1310.8162, 0.005572046, 0.013068175, 0.016482586, 0.012841133, up
1315.2987, 0.013747447, 0.016548946, 0.019656321, 0.00888182, up
1319.535, 0.011672385, 0.032578323, 0.028027324, -0.0074649365, up
1322.4824, 0.0071862764, 0.021049188, 0.012027833, 0.011727, up
1325.5217, 0.010179809, 0.013951187, 0.011047387, 0.017615303, up
1324.6252, 0.0027477911, 0.005572046, 0.013068175, 0.016482586, up
1327.5803, 0.004627892, 0.013747447, 0.016548946, 0.019656321, up
1330.2645, 0.0033820332, 0.011672385, 0.032578323, 0.028027324, up
1335.0431, 0.014907039, 0.0071862764, 0.021049188, 0.012027833, up
1338.2089, 0.009860311, 0.010179809, 0.013951187, 0.011047387, up
1342.4734, 0.029136127, 0.0027477911, 0.005572046, 0.013068175, up
1347.4924, 0.021031747, 0.004627892, 0.013747447, 0.016548946, up
1352.704, 0.024272967, 0.0033820332, 0.011672385, 0.032578323, up
1355.7954, 0.010338512, 0.014907039, 0.0071862764, 0.021049188, up
1360.5096, 0.021097515, 0.009860311, 0.010179809, 0.013951187, up
1366.262, 0.021875199, 0.029136127, 0.0027477911, 0.005572046, up
1371.9834, 0.019962452, 0.021031747, 0.004627892, 0.013747447, up
1378.0089, 0.02079279, 0.024272967, 0.0033820332, 0.011672385, down
1381.5089, 0.019990334, 0.010338512, 0.014907039, 0.0071862764, up
1387.7633, 0.024221227, 0.021097515, 0.009860311, 0.010179809, up
1391.8766, 0.013719389, 0.021875199, 0.029136127, 0.0027477911, up
1392.7596, 0.0010180476, 0.019962452, 0.021031747, 0.004627892, down
1393.0253, -0.005719965, 0.02079279, 0.024272967, 0.0033820332, down
1394.9368, 0.0050662095, 0.019990334, 0.010338512, 0.014907039, down
1399.2054, 0.0024773849, 0.024221227, 0.021097515, 0.009860311, down
1403.7219, 0.009557478, 0.013719389, 0.021875199, 0.029136127, down
1400.8936, -0.0048056515, 0.0010180476, 0.019962452, 0.021031747, down
1391.2968, -0.029538933, -0.005719965, 0.02079279, 0.024272967, down
1385.1658, -0.029901996, 0.0050662095, 0.019990334, 0.010338512, down
1373.0883, -0.06460587, 0.0024773849, 0.024221227, 0.021097515, up
1357.9567, -0.08746719, 0.009557478, 0.013719389, 0.021875199, up
1351.7314, -0.04515753, -0.0048056515, 0.0010180476, 0.019962452, up
