ema100, rdp5, rdp10, rdp15, rdp20, label
-20.606384, -2.279749, -1.5493928, -3.537268, 3.5009694, up
-21.628845, -3.1345985, -0.6788278, -4.530475, 2.7431438, up
-11.606995, -2.9328768, 2.2886467, -6.180904, 0.41144496, up
-12.965942, -3.2441833, 1.2880057, -5.0255113, -0.07226687, up
2.0516357, -0.08708153, -0.768116, -4.4787083, -0.67712575, down
10.841064, 2.519259, -2.279749, -1.5493928, -3.537268, down
4.152832, 2.6226296, -3.1345985, -0.6788278, -4.530475, down
2.586731, 1.7268839, -2.9328768, 2.2886467, -6.180904, down
-6.65094, 1.0461576, -3.2441833, 1.2880057, -5.0255113, up
-7.0562744, -0.875876, -0.08708153, -0.768116, -4.4787083, up
-4.061157, -1.8770232, 2.519259, -2.279749, -1.5493928, up
1.4311523, -0.6586863, 2.6226296, -3.1345985, -0.6788278, up
-0.35906982, -0.7620902, 1.7268839, -2.9328768, 2.2886467, up
2.272583, 0.75591636, 1.0461576, -3.2441833, 1.2880057, up
19.202026, 3.3521135, -0.875876, -0.08708153, -0.768116, down
15.441467, 3.1412818, -1.8770232, 2.519259, -2.279749, up
11.441589, 2.3691132, -0.6586863, 2.6226296, -3.1345985, up
9.601013, 2.6370866, -0.7620902, 1.7268839, -2.9328768, up
-0.5668335, 1.1758891, 0.75591636, 1.0461576, -3.2441833, up
1.6342773, -0.85916805, 3.3521135, -0.875876, -0.08708153, up
14.90741, 0.91578054, 3.1412818, -1.8770232, 2.519259, up
18.430176, 1.8915925, 2.3691132, -0.6586863, 2.6226296, up
15.680115, 1.954586, 2.6370866, -0.7620902, 1.7268839, up
11.983704, 2.9969215, 1.1758891, 0.75591636, 1.0461576, up
10.682617, 2.8572674, -0.85916805, 3.3521135, -0.875876, up
12.7146, 1.5797582, 0.91578054, 3.1412818, -1.8770232, up
6.003845, 0.18988143, 1.8915925, 2.3691132, -0.6586863, up
9.074646, 0.6194482, 1.954586, 2.6370866, -0.7620902, up
16.347778, 1.8638289, 2.9969215, 1.1758891, 0.75591636, up
15.646423, 2.050714, 2.8572674, -0.85916805, 3.3521135, up
12.277405, 1.47527, 1.5797582, 0.91578054, 3.1412818, up
4.4295654, 1.325601, 0.18988143, 1.8915925, 2.3691132, up
18.095947, 2.6346552, 0.6194482, 1.954586, 2.6370866, up
15.436707, 1.5755683, 1.8638289, 2.9969215, 1.1758891, up
12.781433, 1.3009835, 2.050714, 2.8572674, -0.85916805, down
3.0014038, 0.4199976, 1.47527, 1.5797582, 0.91578054, down
-1.3272095, 0.6343065, 1.325601, 0.18988143, 1.8915925, up
8.666199, 0.020961532, 2.6346552, 0.6194482, 1.954586, down
13.853088, 0.76359963, 1.5755683, 1.8638289, 2.9969215, down
4.3864136, -0.124541685, 1.3009835, 2.050714, 2.8572674, up
-5.54718, -0.355908, 0.4199976, 1.47527, 1.5797582, up
-1.5338745, 0.47980282, 0.6343065, 1.325601, 0.18988143, up
2.2452393, -0.3063421, 0.020961532, 2.6346552, 0.6194482, up
9.060242, -0.2611807, 0.76359963, 1.5755683, 1.8638289, up
15.136536, 1.5552235, -0.124541685, 1.3009835, 2.050714, up
15.061401, 3.0874512, -0.355908, 0.4199976, 1.47527, up
9.728638, 2.4197285, 0.47980282, 0.6343065, 1.325601, up
7.942993, 1.9948344, -0.3063421, 0.020961532, 2.6346552, up
12.602356, 1.8508941, -0.2611807, 0.76359963, 1.5755683, up
6.186035, 0.38604277, 1.5552235, -0.124541685, 1.3009835, up
19.733276, 1.8322256, 3.0874512, -0.355908, 0.4199976, up
