ema100, rdp5, rdp10, rdp15, rdp20, rdp5post
-20.606384, -2.279749, -1.5493928, -3.537268, 3.5009694, 2.519259
-21.628845, -3.1345985, -0.6788278, -4.530475, 2.7431438, 2.6226296
-11.606995, -2.9328768, 2.2886467, -6.180904, 0.41144496, 1.7268839
-12.965942, -3.2441833, 1.2880057, -5.0255113, -0.07226687, 1.0461576
2.0516357, -0.08708153, -0.768116, -4.4787083, -0.67712575, -0.875876
10.841064, 2.519259, -2.279749, -1.5493928, -3.537268, -1.8770232
4.152832, 2.6226296, -3.1345985, -0.6788278, -4.530475, -0.6586863
2.586731, 1.7268839, -2.9328768, 2.2886467, -6.180904, -0.7620902
-6.65094, 1.0461576, -3.2441833, 1.2880057, -5.0255113, 0.75591636
-7.0562744, -0.875876, -0.08708153, -0.768116, -4.4787083, 3.3521135
-4.061157, -1.8770232, 2.519259, -2.279749, -1.5493928, 3.1412818
1.4311523, -0.6586863, 2.6226296, -3.1345985, -0.6788278, 2.3691132
-0.35906982, -0.7620902, 1.7268839, -2.9328768, 2.2886467, 2.6370866
2.272583, 0.75591636, 1.0461576, -3.2441833, 1.2880057, 1.1758891
19.202026, 3.3521135, -0.875876, -0.08708153, -0.768116, -0.85916805
15.441467, 3.1412818, -1.8770232, 2.519259, -2.279749, 0.91578054
11.441589, 2.3691132, -0.6586863, 2.6226296, -3.1345985, 1.8915925
9.601013, 2.6370866, -0.7620902, 1.7268839, -2.9328768, 1.954586
-0.5668335, 1.1758891, 0.75591636, 1.0461576, -3.2441833, 2.9969215
1.6342773, -0.85916805, 3.3521135, -0.875876, -0.08708153, 2.8572674
14.90741, 0.91578054, 3.1412818, -1.8770232, 2.519259, 1.5797582
18.430176, 1.8915925, 2.3691132, -0.6586863, 2.6226296, 0.18988143
15.680115, 1.954586, 2.6370866, -0.7620902, 1.7268839, 0.6194482
11.983704, 2.9969215, 1.1758891, 0.75591636, 1.0461576, 1.8638289
10.682617, 2.8572674, -0.85916805, 3.3521135, -0.875876, 2.050714
12.7146, 1.5797582, 0.91578054, 3.1412818, -1.8770232, 1.47527
6.003845, 0.18988143, 1.8915925, 2.3691132, -0.6586863, 1.325601
9.074646, 0.6194482, 1.954586, 2.6370866, -0.7620902, 2.6346552
16.347778, 1.8638289, 2.9969215, 1.1758891, 0.75591636, 1.5755683
15.646423, 2.050714, 2.8572674, -0.85916805, 3.3521135, 1.3009835
12.277405, 1.47527, 1.5797582, 0.91578054, 3.1412818, 0.4199976
4.4295654, 1.325601, 0.18988143, 1.8915925, 2.3691132, 0.6343065
18.095947, 2.6346552, 0.6194482, 1.954586, 2.6370866, 0.020961532
15.436707, 1.5755683, 1.8638289, 2.9969215, 1.1758891, 0.76359963
12.781433, 1.3009835, 2.050714, 2.8572674, -0.85916805, -0.124541685
3.0014038, 0.4199976, 1.47527, 1.5797582, 0.91578054, -0.355908
-1.3272095, 0.6343065, 1.325601, 0.18988143, 1.8915925, 0.47980282
8.666199, 0.020961532, 2.6346552, 0.6194482, 1.954586, -0.3063421
13.853088, 0.76359963, 1.5755683, 1.8638289, 2.9969215, -0.2611807
4.3864136, -0.124541685, 1.3009835, 2.050714, 2.8572674, 1.5552235
-5.54718, -0.355908, 0.4199976, 1.47527, 1.5797582, 3.0874512
-1.5338745, 0.47980282, 0.6343065, 1.325601, 0.18988143, 2.4197285
2.2452393, -0.3063421, 0.020961532, 2.6346552, 0.6194482, 1.9948344
9.060242, -0.2611807, 0.76359963, 1.5755683, 1.8638289, 1.8508941
15.136536, 1.5552235, -0.124541685, 1.3009835, 2.050714, 0.38604277
15.061401, 3.0874512, -0.355908, 0.4199976, 1.47527, 1.8322256
9.728638, 2.4197285, 0.47980282, 0.6343065, 1.325601, 2.4607146
7.942993, 1.9948344, -0.3063421, 0.020961532, 2.6346552, 3.056891
12.602356, 1.8508941, -0.2611807, 0.76359963, 1.5755683, 3.419305
6.186035, 0.38604277, 1.5552235, -0.124541685, 1.3009835, 3.6841295
19.733276, 1.8322256, 3.0874512, -0.355908, 0.4199976, 2.11451
18.546143, 2.4607146, 2.4197285, 0.47980282, 0.6343065, 3.0271654
19.860962, 3.056891, 1.9948344, -0.3063421, 0.020961532, 2.3082187
25.304688, 3.419305, 1.8508941, -0.2611807, 0.76359963, 1.1978163
18.379883, 3.6841295, 0.38604277, 1.5552235, -0.124541685, 1.3797655
16.968018, 2.11451, 1.8322256, 3.0874512, -0.355908, 2.5667477
24.014282, 3.0271654, 2.4607146, 2.4197285, 0.47980282, 1.4058834
18.347168, 2.3082187, 3.056891, 1.9948344, -0.3063421, 1.7339915
14.87793, 1.1978163, 3.419305, 1.8508941, -0.2611807, 2.7981153
11.558838, 1.3797655, 3.6841295, 0.38604277, 1.5552235, 3.4508824
21.630615, 2.5667477, 2.11451, 1.8322256, 3.0874512, 2.411676
18.024414, 1.4058834, 3.0271654, 2.4607146, 2.4197285, 2.5884817
16.363892, 1.7339915, 2.3082187, 3.056891, 1.9948344, 2.203046
22.443237, 2.7981153, 1.1978163, 3.419305, 1.8508941, 0.6037769
23.21045, 3.4508824, 1.3797655, 3.6841295, 0.38604277, -1.973387
22.320435, 2.411676, 2.5667477, 2.11451, 1.8322256, -2.6290762
20.136108, 2.5884817, 1.4058834, 3.0271654, 2.4607146, -1.7035598
14.733154, 2.203046, 1.7339915, 2.3082187, 3.056891, -1.0965797
7.2106934, 0.6037769, 2.7981153, 1.1978163, 3.419305, 1.1139208
-11.855225, -1.973387, 3.4508824, 1.3797655, 3.6841295, 3.750825
-11.660278, -2.6290762, 2.411676, 2.5667477, 2.11451, 2.7874951
1.1757812, -1.7035598, 2.5884817, 1.4058834, 3.0271654, 1.2257091
5.0125732, -1.0965797, 2.203046, 1.7339915, 2.3082187, -1.099689
19.138184, 1.1139208, 0.6037769, 2.7981153, 1.1978163, -3.0157428
20.470703, 3.750825, -1.973387, 3.4508824, 1.3797655, -1.1979896
5.7441406, 2.7874951, -2.6290762, 2.411676, 2.5667477, -0.097596794
1.6512451, 1.2257091, -1.7035598, 2.5884817, 1.4058834, -1.7103112
-15.110718, -1.099689, -1.0965797, 2.203046, 1.7339915, 0.41914856
-14.352539, -3.0157428, 1.1139208, 0.6037769, 2.7981153, -0.3055342
9.958008, -1.1979896, 3.750825, -1.973387, 3.4508824, -4.79278
7.2943115, -0.097596794, 2.7874951, -2.6290762, 2.411676, -3.87421
-11.468628, -1.7103112, 1.2257091, -1.7035598, 2.5884817, -0.99432516
-6.7110596, 0.41914856, -1.099689, -1.0965797, 2.203046, 0.82748914
-13.960693, -0.3055342, -3.0157428, 1.1139208, 0.6037769, 2.6947591
-29.880493, -4.79278, -1.1979896, 3.750825, -1.973387, 4.828997
-16.344482, -3.87421, -0.097596794, 2.7874951, -2.6290762, 4.66526
-4.4992676, -0.99432516, -1.7103112, 1.2257091, -1.7035598, 5.5070972
14.832642, 0.82748914, 0.41914856, -1.099689, -1.0965797, 3.5151
19.433594, 2.6947591, -0.3055342, -3.0157428, 1.1139208, 3.286347
14.483032, 4.828997, -4.79278, -1.1979896, 3.750825, 3.9353955
18.106201, 4.66526, -3.87421, -0.097596794, 2.7874951, 3.159486
30.756958, 5.5070972, -0.99432516, -1.7103112, 1.2257091, 2.43047
26.421753, 3.5151, 0.82748914, 0.41914856, -1.099689, 2.1244044
26.929077, 3.286347, 2.6947591, -0.3055342, -3.0157428, 1.87679
26.23169, 3.9353955, 4.828997, -4.79278, -1.1979896, 2.8117397
20.793335, 3.159486, 4.66526, -3.87421, -0.097596794, 3.3286746
26.754517, 2.43047, 5.5070972, -0.99432516, -1.7103112, 2.494081
20.459717, 2.1244044, 3.5151, 0.82748914, 0.41914856, 0.53779864
19.999268, 1.87679, 3.286347, 2.6947591, -0.3055342, 2.749272
29.439697, 2.8117397, 3.9353955, 4.828997, -4.79278, 1.5701972
28.143799, 3.3286746, 3.159486, 4.66526, -3.87421, 2.6657226
25.154907, 2.494081, 2.43047, 5.5070972, -0.99432516, 2.6042318
0.8520508, 0.53779864, 2.1244044, 3.5151, 0.82748914, 3.837977
25.105469, 2.749272, 1.87679, 3.286347, 2.6947591, 3.0147293
22.6604, 1.5701972, 2.8117397, 3.9353955, 4.828997, 1.4690459
33.280518, 2.6657226, 3.3286746, 3.159486, 4.66526, -2.1227896
28.744507, 2.6042318, 2.494081, 2.43047, 5.5070972, -2.4536607
