ema, rdp5, rdp10, rdp15
938.33636,-0.02279749,-0.015493928,-0.03537268
932.92883,-0.031345986,-0.006788278,-0.04530475
930.027,-0.029328767,0.022886468,-0.061809037
926.78595,-0.032441832,0.012880057,-0.050255112
927.29834,-8.71E-04,-0.00768116,-0.044787083
930.0089,0.02519259,-0.02279749,-0.015493928
931.0472,0.026226297,-0.031345986,-0.006788278
931.6933,0.017268838,-0.029328767,0.022886468
930.03094,0.010461576,-0.032441832,0.012880057
928.2663,-0.00875876,-8.71E-04,-0.00768116
927.25116,-0.018770233,0.02519259,-0.02279749
927.6088,-0.006586863,0.026226297,-0.031345986
927.51904,-0.007620902,0.017268838,-0.029328767
928.0874,0.007559164,0.010461576,-0.032441832
932.888,0.033521134,-0.00875876,-8.71E-04
936.74854,0.031412818,-0.018770233,0.02519259
939.6084,0.023691133,-0.006586863,0.026226297
942.009,0.026370866,-0.007620902,0.017268838
941.8668,0.011758892,0.007559164,0.010461576
942.2757,-0.008591681,0.033521134,-0.00875876
946.00256,0.009157806,0.031412818,-0.018770233
950.6098,0.018915925,0.023691133,-0.006586863
954.5299,0.01954586,0.026370866,-0.007620902
957.5263,0.029969215,0.011758892,0.007559164
960.1974,0.028572673,-0.008591681,0.033521134
963.3754,0.015797582,0.009157806,0.031412818
964.87616,0.001898814,0.018915925,0.023691133
967.1453,0.006194482,0.01954586,0.026370866
971.23224,0.018638289,0.029969215,0.011758892
975.14355,0.02050714,0.028572673,-0.008591681
978.2126,0.0147527,0.015797582,0.009157806
979.32043,0.01325601,0.001898814,0.018915925
983.84406,0.026346553,0.006194482,0.01954586
987.7033,0.015755683,0.018638289,0.029969215
990.89856,0.013009836,0.02050714,0.028572673
991.6486,0.004199976,0.0147527,0.015797582
991.3172,0.006343065,0.01325601,0.001898814
993.4838,2.10E-04,0.026346553,0.006194482
996.9469,0.007635996,0.015755683,0.018638289
998.0436,-0.001245417,0.013009836,0.02050714
996.65717,-0.00355908,0.004199976,0.0147527
996.27386,0.004798028,0.006343065,0.01325601
996.8348,-0.003063421,2.10E-04,0.026346553
999.09973,-0.002611807,0.007635996,0.015755683
1002.8835,0.015552235,-0.001245417,0.013009836
1006.6486,0.030874511,-0.00355908,0.004199976
1009.08136,0.024197286,0.004798028,0.006343065
1011.067,0.019948345,-0.003063421,2.10E-04
1014.2176,0.018508941,-0.002611807,0.007635996
1015.764,0.003860428,0.015552235,-0.001245417
1020.6968,0.018322255,0.030874511,-0.00355908
1025.3339,0.024607146,0.024197286,0.004798028
1030.2991,0.030568909,0.019948345,-0.003063421
1036.6254,0.03419305,0.018508941,-0.002611807
1041.2201,0.036841296,0.003860428,0.015552235
1045.462,0.021145102,0.018322255,0.030874511
1051.4657,0.030271655,0.024607146,0.024197286
1056.0529,0.023082187,0.030568909,0.019948345
1059.7721,0.011978162,0.03419305,0.018508941
1062.6611,0.013797655,0.036841296,0.003860428
1068.0693,0.025667476,0.021145102,0.018322255
1072.5756,0.014058835,0.030271655,0.024607146
1076.6661,0.017339915,0.023082187,0.030568909
1082.2767,0.027981153,0.011978162,0.03419305
1088.0796,0.034508824,0.013797655,0.036841296
1093.6595,0.024116758,0.025667476,0.021145102
1098.6938,0.025884816,0.014058835,0.030271655
1102.3768,0.022030462,0.017339915,0.023082187
1104.1793,0.006037769,0.027981153,0.011978162
1101.2152,-0.01973387,0.034508824,0.013797655
1098.3003,-0.026290763,0.024116758,0.025667476
1098.5942,-0.017035598,0.025884816,0.014058835
1099.8474,-0.010965796,0.022030462,0.017339915
1104.6318,0.011139208,0.006037769,0.027981153
1109.7493,0.03750825,-0.01973387,0.034508824
1111.1859,0.027874952,-0.026290763,0.024116758
1111.5988,0.012257091,-0.017035598,0.025884816
1107.8207,-0.01099689,-0.010965796,0.022030462
1104.2325,-0.030157428,0.011139208,0.006037769
1106.722,-0.011979896,0.03750825,-0.01973387
1108.5457,-9.76E-04,0.027874952,-0.026290763
1105.6786,-0.017103111,0.012257091,-0.017035598
1104.0011,0.004191486,-0.01099689,-0.010965796
1100.5107,-0.003055342,-0.030157428,0.011139208
1093.0405,-0.0479278,-0.011979896,0.03750825
1088.9545,-0.0387421,-9.76E-04,0.027874952
1087.8292,-0.009943252,-0.017103111,0.012257091
1091.5374,0.008274891,0.004191486,-0.01099689
1096.3964,0.026947591,-0.003055342,-0.030157428
1100.017,0.04828997,-0.0479278,-0.011979896
1104.5438,0.046652596,-0.0387421,-9.76E-04
